DrugID,DrugName,ConnectivitySMILES
217,Aminosalicylic acid,C1=CC(=C(C=C1N)O)C(=O)O
218,Amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
219,Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
220,Amithiozone,CC(=O)NC1=CC=C(C=C1)C=NNC(=S)N
221,Amitraz,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C
222,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
223,Amitriptylinoxide,C[N+](C)(CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31)[O-]
224,Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
225,Ammonia N-13,N
226,Ammonium bicarbonate,C(=O)(O)[O-].[NH4+]
227,Ammonium lactate,CC(C(=O)[O-])O.[NH4+]
228,Ammonium tetrathiomolybdate,[NH4+].[NH4+].[SH-].[SH-].S=[Mo]=S
229,Amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
230,Amodiaquine,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
231,Amonafide,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
232,Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
233,Amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
234,Amperozide,CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F
