DrugID,DrugName,CID,ChEBI_ID
399,Benzquinamide,2342,CHEBI:27662
400,Benzthiazide,2343,CHEBI:3047
401,Benzydamine,12555,CHEBI:94563
402,Benzyl alcohol,244,CHEBI:17987
403,Benzylpenicillin,5904,CHEBI:18208
405,Benzylthiouracil,685814,CHEBI:134902
406,Bepotastine,164522,CHEBI:71204
407,Bepridil,2351,CHEBI:3061
408,Beraprost,6917951,CHEBI:135633
409,Berberine ursodeoxycholate,137552085,
410,Bergapten,2355,CHEBI:18293
411,Berotralstat,137528262,
412,Besifloxacin,10178705,CHEBI:135622
413,Betahistine,2366,CHEBI:35677
414,Betaine,247,CHEBI:17750
415,Betamethasone,9782,CHEBI:3077
416,Betamethasone phosphate,107782,CHEBI:68603
417,Betaxolol,2369,CHEBI:3082
418,Bethanechol,2370,CHEBI:3084
419,Bethanidine,2368,CHEBI:37937
420,Betrixaban,10275777,CHEBI:140421
421,Betulinic Acid,64971,CHEBI:3087
422,Bevantolol,2372,CHEBI:238698
423,Bevonium,31800,CHEBI:135495
424,Bexagliflozin,25195624,CHEBI:229225
425,Bexarotene,82146,CHEBI:50859
426,Bezafibrate,39042,CHEBI:47612
427,Bezitramide,61791,CHEBI:135794
428,Bicifadine,47953,
429,Bicisate,72048,
430,Bictegravir,90311989,CHEBI:172943
431,Bietaserpine,20054848,CHEBI:125518
432,Bifemelane,2377,CHEBI:92338
433,Bifeprunox,208951,CHEBI:177517
434,Bifonazole,2378,CHEBI:78692
435,Bilastine,185460,CHEBI:135954
436,Bimatoprost,5311027,CHEBI:51230
437,Binimetinib,10288191,CHEBI:145371
438,Bioallethrin,15558638,CHEBI:143255
439,Biochanin A,5280373,CHEBI:17574
440,Biperiden,2381,CHEBI:3112
441,Biricodar,3037617,CHEBI:135847
442,Bisacodyl,2391,CHEBI:3125
443,Bisegliptin,11688894,
444,Bismuth subcitrate potassium,91667825,
445,Bismuth subgallate,73415769,
446,Bismuth subnitrate,73415757,
447,Bismuth subsalicylate,53629521,
448,Bisoprolol,2405,CHEBI:3127
449,Bisoxatin,28689,CHEBI:135955
450,Bitolterol,35330,CHEBI:3133
451,Bivalirudin,16129704,CHEBI:59173
452,Bleomycin,5360373,
453,Blonanserin,125564,CHEBI:31296
454,Boceprevir,10324367,CHEBI:68621
455,Bolandiol,9835303,CHEBI:145661
456,Bolasterone,102146,CHEBI:34583
457,Boldenone,13308,CHEBI:34584
458,Bopindolol,44112,CHEBI:143782
459,Bornaprine,70687267,
460,Bortezomib,387447,CHEBI:52717
461,Bortezomib D-mannitol,12990536,
462,Bosentan,104865,CHEBI:51450
463,Bosutinib,5328940,CHEBI:39112
464,Brefeldin A,5287620,CHEBI:48080
465,Brequinar,57030,CHEBI:177387
466,Bretylium,2431,CHEBI:3172
467,Brexanolone,92786,CHEBI:50169
468,Brexpiprazole,11978813,CHEBI:134716
469,Brigatinib,68165256,CHEBI:232810
470,Brilaroxazine,46861612,
