DrugID,DrugName,SideEffect
2051.0,Nedocromil,C3665347
2051.0,Nedocromil,C0042963
2051.0,Nedocromil,C0043352
2051.0,Nedocromil,C0085636
2051.0,Nedocromil,C0234913
2051.0,Nedocromil,C0235267
2051.0,Nedocromil,C0155169
2051.0,Nedocromil,C0235567
2051.0,Nedocromil,C1262144
2051.0,Nedocromil,C0242459
2051.0,Nedocromil,C0034068
2051.0,Nedocromil,C0541799
2051.0,Nedocromil,C0013378
2051.0,Nedocromil,C0549386
2051.0,Nedocromil,C2939147
2051.0,Nedocromil,C0574067
2051.0,Nedocromil,C0677500
2051.0,Nedocromil,C0030193
2051.0,Nedocromil,C0857493
2051.0,Nedocromil,C0017178
2051.0,Nedocromil,C1527344
158.0,Alfentanil,C0002792
158.0,Alfentanil,C0003578
158.0,Alfentanil,C0003811
158.0,Alfentanil,C0004936
158.0,Alfentanil,C0006266
158.0,Alfentanil,C0009676
158.0,Alfentanil,C1443060
158.0,Alfentanil,C0009782
158.0,Alfentanil,C0010200
158.0,Alfentanil,C0011615
158.0,Alfentanil,C0012833
158.0,Alfentanil,C0013144
158.0,Alfentanil,C2830004
158.0,Alfentanil,C0013384
158.0,Alfentanil,C0014591
158.0,Alfentanil,C0015230
158.0,Alfentanil,C0011603
158.0,Alfentanil,C0015397
158.0,Alfentanil,C0015672
158.0,Alfentanil,C0004093
158.0,Alfentanil,C0015967
158.0,Alfentanil,C0017178
158.0,Alfentanil,C0018681
158.0,Alfentanil,C0018790
158.0,Alfentanil,C0018799
158.0,Alfentanil,C0019521
158.0,Alfentanil,C0020440
158.0,Alfentanil,C0860713
158.0,Alfentanil,C0020458
158.0,Alfentanil,C0020517
158.0,Alfentanil,C0020538
158.0,Alfentanil,C0020649
158.0,Alfentanil,C0021053
158.0,Alfentanil,C0023066
158.0,Alfentanil,C0025061
158.0,Alfentanil,C0026650
158.0,Alfentanil,C0026837
158.0,Alfentanil,C0027066
158.0,Alfentanil,C0027497
158.0,Alfentanil,C0027765
158.0,Alfentanil,C0030193
158.0,Alfentanil,C0033774
158.0,Alfentanil,C0036572
158.0,Alfentanil,C0036973
158.0,Alfentanil,C0085593
158.0,Alfentanil,C0039231
158.0,Alfentanil,C0041657
158.0,Alfentanil,C0041834
158.0,Alfentanil,C0042109
158.0,Alfentanil,C0042373
158.0,Alfentanil,C0042963
158.0,Alfentanil,C0085631
158.0,Alfentanil,C0151828
158.0,Alfentanil,C0162297
158.0,Alfentanil,C0178298
158.0,Alfentanil,C0037274
158.0,Alfentanil,C0231837
158.0,Alfentanil,C0233407
158.0,Alfentanil,C0235063
158.0,Alfentanil,C0855775
158.0,Alfentanil,C0235146
158.0,Alfentanil,C0235524
158.0,Alfentanil,C0858765
158.0,Alfentanil,C0281803
158.0,Alfentanil,C0340865
158.0,Alfentanil,C0344232
158.0,Alfentanil,C0428977
158.0,Alfentanil,C0497247
158.0,Alfentanil,C0524662
158.0,Alfentanil,C1510472
158.0,Alfentanil,C0547030
158.0,Alfentanil,C3665347
158.0,Alfentanil,C0854693
158.0,Alfentanil,C0857494
158.0,Alfentanil,C0919569
158.0,Alfentanil,C0919572
158.0,Alfentanil,C1141861
158.0,Alfentanil,C1319200
158.0,Alfentanil,C1619712
1819.0,Mebrofenin,C0015230
1819.0,Mebrofenin,C0011603
1819.0,Mebrofenin,C0027497
1819.0,Mebrofenin,C0042109
1819.0,Mebrofenin,C0085593
2686.0,Simvastatin,C0000737
2686.0,Simvastatin,C0687713
2686.0,Simvastatin,C0002170
2686.0,Simvastatin,C0002622
2686.0,Simvastatin,C0002792
2686.0,Simvastatin,C0002871
2686.0,Simvastatin,C0002878
2686.0,Simvastatin,C0002994
2686.0,Simvastatin,C0003123
2686.0,Simvastatin,C0232462
2686.0,Simvastatin,C0003467
2686.0,Simvastatin,C0003862
2686.0,Simvastatin,C0948594
2686.0,Simvastatin,C0003864
2686.0,Simvastatin,C0004093
2686.0,Simvastatin,C0004238
2686.0,Simvastatin,C0004936
2686.0,Simvastatin,C0006147
2686.0,Simvastatin,C0006277
2686.0,Simvastatin,C0008031
2686.0,Simvastatin,C0009450
2686.0,Simvastatin,C0009676
2686.0,Simvastatin,C1443060
2686.0,Simvastatin,C0009806
2686.0,Simvastatin,C0011570
2686.0,Simvastatin,C0011633
2686.0,Simvastatin,C0011849
2686.0,Simvastatin,C0011991
2686.0,Simvastatin,C0012833
2686.0,Simvastatin,C0013378
2686.0,Simvastatin,C0013395
2686.0,Simvastatin,C0013404
2686.0,Simvastatin,C0013595
2686.0,Simvastatin,C0013604
2686.0,Simvastatin,C0014130
2686.0,Simvastatin,C0014457
2686.0,Simvastatin,C0014518
2686.0,Simvastatin,C0014742
2686.0,Simvastatin,C0015230
2686.0,Simvastatin,C0011603
2686.0,Simvastatin,C0015672
2686.0,Simvastatin,C0015967
2686.0,Simvastatin,C0016204
2686.0,Simvastatin,C0016382
2686.0,Simvastatin,C0017152
2686.0,Simvastatin,C0017178
2686.0,Simvastatin,C0018418
2686.0,Simvastatin,C0018681
2686.0,Simvastatin,C0019158
2686.0,Simvastatin,C0020517
2686.0,Simvastatin,C0021368
2686.0,Simvastatin,C0022346
2686.0,Simvastatin,C0022354
2686.0,Simvastatin,C0023530
2686.0,Simvastatin,C0023895
2686.0,Simvastatin,C0151763
2686.0,Simvastatin,C0239571
2686.0,Simvastatin,C0025274
2686.0,Simvastatin,C0026821
2686.0,Simvastatin,C0037763
