DrugID,DrugName
489,Budesonide
490,Budipine
491,Bufexamac
492,Buflomedil
493,Buformin
494,Bufotenine
495,Bufuralol
496,Bumadizone
497,Bumetanide
498,Bunaftine
499,Bunazosin
500,Bupivacaine
501,Bupranolol
502,Buprenorphine
503,Bupropion
504,Buspirone
505,Busulfan
506,Butabarbital
507,Butacaine
508,Butalbital
509,Butamben
510,Butanilicaine
511,Butaperazine
512,Buthiazide
513,Buthionine sulfoximine
514,Butobarbital
515,Butorphanol
516,Butylphthalide
517,Butylscopolamine
518,Butyrfentanyl
519,Butyrylthiocholine
520,CA4P
521,CM-4307
522,CUDC-101
523,Cabazitaxel
524,Cabergoline
525,Cabotegravir
526,Cabozantinib
527,Cadralazine
528,Cafedrine
529,Caffeine
530,Calcifediol
531,Calcitriol
532,Calcium
533,Calcium cation
534,Calcium glubionate anhydrous
535,Calcium glucoheptonate
536,Calcium gluconate
537,Calcium levulinate
538,Calcium pangamate
539,Calyculin A
540,Camazepam
541,Camptothecin
542,Camylofin
543,Canagliflozin
544,Candesartan
545,Candesartan cilexetil
546,Candicidin
547,Candoxatril
548,Canertinib
549,Cangrelor
550,Cannabidiol
551,Cannabidivarin
552,Cannabinol
553,Canrenoic acid
554,Canrenone
555,Capecitabine
556,Capivasertib
557,Capmatinib
558,Capravirine
559,Capreomycin
560,Caprylic acid
561,Capsaicin
562,Captodiame
563,Captopril
564,Carbamazepine
565,Carbamoylcholine
566,Carbenicillin
567,Carbetocin
568,Carbidopa
569,Carbimazole
570,Carbinoxamine
571,Carbocisteine
572,Carbomycin
573,Carboprost
574,Carboquone
575,Carboxyamidotriazole
576,Carbromal
577,Carbutamide
578,Carfecillin
579,Carfentanil
580,Carfilzomib
581,Carindacillin
582,Cariporide
583,Cariprazine
584,Carisbamate
585,Carisoprodol
586,Carmegliptin
587,Carmofur
588,Carmustine
589,Caroverine
590,Caroxazone
591,Carprofen
592,Carteolol
593,Carvedilol
594,Caspofungin
595,Castanospermine
596,Cathine
597,Cathinone
598,Cediranib
599,Cefacetrile
600,Cefaclor
601,Cefadroxil
602,Cefaloridine
603,Cefalotin
604,Cefamandole
605,Cefamandole nafate
606,Cefapirin
607,Cefatrizine
608,Cefazedone
609,Cefazolin
610,Cefbuperazone
611,Cefcapene
612,Cefdinir
613,Cefditoren
614,Cefepime
615,Cefetamet
616,Cefixime
617,Cefmenoxime
618,Cefmetazole
619,Cefminox
620,Cefodizime
621,Cefonicid
622,Cefoperazone
623,Ceforanide
624,Cefotaxime
625,Cefotetan
626,Cefotiam
627,Cefoxitin
628,Cefozopran
629,Cefpiramide
630,Cefpirome
631,Cefpodoxime
632,Cefprozil
633,Cefradine
634,Cefroxadine
635,Cefsulodin
636,Ceftaroline fosamil
637,Ceftazidime
638,Ceftezole
639,Ceftibuten
640,Ceftiofur
641,Ceftizoxime
642,Ceftobiprole
643,Ceftobiprole medocaril
644,Ceftolozane
645,Ceftriaxone
646,Cefuroxime
647,Celecoxib
648,Celiprolol
649,Cenobamate
650,Cephalexin
651,Cephaloglycin
652,Cephalosporin C
653,Cephalosporin analog
654,Cephalothin Group
655,Ceritinib
656,Cerium oxalate
657,Cerivastatin
658,Cerlapirdine
659,Cethromycin
660,Cetirizine
661,Cevimeline
662,Chloral hydrate
663,Chlorambucil
664,Chloramphenicol
665,Chloramphenicol succinate
666,Chlorcyclizine
667,Chlordiazepoxide
668,Chlorhexadol
669,Chloride ion
670,Chlormadinone
671,Chlormadinone acetate
672,Chlormezanone
673,Chloroform
674,Chloroprocaine
675,Chloropyramine
676,Chloroquine
677,Chlorothiazide
678,Chlorotrianisene
679,Chlorpheniramine
680,Chlorphenoxamine
681,Chlorphentermine
682,Chlorproethazine
683,Chlorproguanil
684,Chlorpromazine
685,Chlorpropamide
686,Chlorprothixene
687,Chlorsulfaquinoxaline
688,Chlortetracycline
689,Chlorzoxazone
690,Cholecalciferol
691,Cholesterol
692,Cholic Acid
693,Choline
694,Chromic cation
695,Chromium
696,Chromium picolinate
