DrugID,DrugName,CID,ChEBI_ID,Pathway_ID,Pathway_Name,Evidence,Species
114,Acetylcholine,187,CHEBI:15355,R-HSA-622323,Presynaptic nicotinic acetylcholine receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-622327,Postsynaptic nicotinic acetylcholine receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-9659379,Sensory processing of sound,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-9667769,Acetylcholine inhibits contraction of outer hair cells,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-9709957,Sensory Perception,IEA,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-1643685,Disease,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-397014,Muscle contraction,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-5576891,Cardiac conduction,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-5578775,Ion homeostasis,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-5663205,Infectious disease,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-936837,Ion transport by P-type ATPases,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-9679191,Potential therapeutics for SARS,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-9679506,SARS-CoV Infections,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-9824446,Viral Infection Pathways,TAS,Homo sapiens
116,Acetyldigitoxin,5284512,CHEBI:53773,R-HSA-983712,Ion channel transport,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-1430728,Metabolism,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-2142753,Arachidonate metabolism,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-2672351,Stimuli-sensing channels,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-382551,Transport of small molecules,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-556833,Metabolism of lipids,TAS,Homo sapiens
119,Acetylsalicylic acid,2244,CHEBI:15365,R-HSA-8978868,Fatty acid metabolism,TAS,Homo sapiens
