DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
2910.0,Ticagrelor,SLC29A1,hgnc:11003,inhibitor,GuideToPharmacology,0.2100475773542965,1.0
1450.0,Gliquidone,KCNJ11,hgnc:6257,,DTC,0.4582856233184652,2.0
304.0,Ataluren,RPL32,hgnc:10336,modulator,ChEMBL,0.071723562999028,1.0
460.0,Bortezomib,CTSB,hgnc:2527,,DTC,0.1367751666493093,2.0
1652.0,KOS-1584,TUBA1C,hgnc:20768,modulator,ChEMBL,0.034596071564237,1.0
2694.0,Soblidotin,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.034596071564237,1.0
2634.0,Sagopilone,TUBA1C,hgnc:20768,modulator,ChEMBL,0.034596071564237,1.0
1648.0,Ixabepilone,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.0247114796887407,1.0
3102.0,Vinflunine,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.034596071564237,1.0
2243.0,Patupilone,TUBA1C,hgnc:20768,modulator,ChEMBL,0.034596071564237,1.0
782.0,Colchicine,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.0915778364935687,9.0
2215.0,Paclitaxel,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.0576601192737284,13.0
523.0,Cabazitaxel,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.0247114796887407,1.0
1144.0,Epothilone D,TUBA1C,hgnc:20768,modulator,ChEMBL,0.0324338170914722,1.0
1021.0,Docetaxel,TUBA1C,hgnc:20768,inhibitor,ChEMBL,0.034596071564237,1.0
2101.0,Nitroprusside,NPR1,hgnc:7943,,TdgClinicalTrial,2.117279579731309,2.0
1159.0,Erythrityl tetranitrate,NPR1,hgnc:7943,,TdgClinicalTrial,1.411519719820872,2.0
2100.0,Nitroglycerin,NPR1,hgnc:7943,,TdgClinicalTrial,0.325735319958663,2.0
1637.0,Isosorbide mononitrate,NPR1,hgnc:7943,,TdgClinicalTrial,0.4234559159462618,2.0
1636.0,Isosorbide dinitrate,NPR1,hgnc:7943,,TdgClinicalTrial,0.3849599235875107,2.0
816.0,Cyclosporine,CALM1,hgnc:1442,,PharmGKB,0.2028045574455277,2.0
1598.0,Infigratinib,FGFR1,hgnc:3688,inhibitor,CancerCommons,0.3218728458089554,20.0
2167.0,Orphenadrine,GRIN1,hgnc:4584,,TEND,0.3780856392377337,2.0
1764.0,Losartan,SLC17A4,hgnc:10932,,PharmGKB,8.821998248880455,2.0
1398.0,Gaboxadol,GABRR2,hgnc:4091,inhibitor,GuideToPharmacology,0.0798370882251624,1.0
1519.0,Hydrocortisone butyrate,GPR33,hgnc:4489,,GuideToPharmacology,1.323299737332068,1.0
555.0,Capecitabine,CCDC70,hgnc:25303,,PharmGKB,1.924799617937553,2.0
460.0,Bortezomib,PSMD11,hgnc:9556,,DTC,0.4103254999479281,4.0
580.0,Carfilzomib,PSMD11,hgnc:9556,,DTC,0.5881332165920303,4.0
1196.0,Ethoxzolamide,CA3,hgnc:1374,inhibitor,ChEMBL,1.017922874870821,1.0
2776.0,Sulthiame,CA3,hgnc:1374,inhibitor,ChEMBL,1.102749781110056,1.0
2085.0,Nimodipine,CACNA1S,hgnc:1397,inhibitor,GuideToPharmacology,0.0994962208520352,2.0
1642.0,Isradipine,CACNA1S,hgnc:1397,inhibitor,GuideToPharmacology,0.2100475773542965,2.0
3124.0,Wortmannin,EIF2B1,hgnc:3257,,NCI,2.785894183856985,2.0
472.0,Brincidofovir,CYP4F2,hgnc:2645,,PharmGKB,9.623998089687769,2.0
2910.0,Ticagrelor,CYP4F2,hgnc:2645,,PharmGKB,2.673332802691047,5.0
2779.0,Sunitinib,CYP4F2,hgnc:2645,,PharmGKB,0.2187272293110856,2.0
262.0,Apixaban,CYP4F2,hgnc:2645,,PharmGKB,0.9623998089687767,2.0
272.0,Arachidonic Acid,CYP4F2,hgnc:2645,,PharmGKB,0.4184346995516421,2.0
