DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
almotriptan,10,71,81,True
alogliptin,2,67,69,True
aloglutamol,2,9,11,True
alosetron,40,15,55,True
alpelisib,14,23,37,True
alphacetylmethadol,4,62,66,True
alphaprodine,10,22,32,True
alprazolam,13,54,67,True
alprenolol,31,44,75,True
alprostadil,1,0,1,True
alt-2074,1,0,1,True
altrenogest,1,6,7,True
altretamine,6,14,20,True
aluminium,1,4,5,True
aluminium acetotartrate,24,7,31,True
aluminium clofibrate,0,2,2,True
aluminium glycinate,33,7,40,True
aluminium nicotinate,20,31,51,True
aluminium phosphate,28,26,54,True
aluminium tristearate,0,1,1,True
aluminum chloride,0,1,1,True
aluminum chlorohydrate,4,61,65,True
aluminum sulfate,28,67,95,True
alverine,2,26,28,True
alvimopan,0,2,2,True
alvocidib,8,1,9,True
amantadine,75,10,85,True
ambenonium,4,7,11,True
ambrisentan,22,27,49,True
ambroxol,25,13,38,True
amcinonide,5,1,6,True
amdinocillin,9,1,10,True
amg-222,11,15,26,True
amibegron,10,18,28,True
amidephrine,0,7,7,True
amifampridine,7,7,14,True
amifostine,2,6,8,True
amikacin,24,18,42,True
amiloride,5,36,41,True
amineptine,22,24,46,True
aminoglutethimide,5,13,18,True
aminohippuric acid,7,2,9,True
aminolevulinic acid,0,1,1,True
aminomethylbenzoic acid,0,1,1,True
aminophenazone,24,40,64,True
aminophylline,1,39,40,True
aminopterin,0,1,1,True
aminosalicylic acid,1,13,14,True
amiodarone,53,23,76,True
amisulpride,23,25,48,True
amithiozone,1,1,2,True
amitraz,9,10,19,True
amitriptyline,54,36,90,True
amitriptylinoxide,1,62,63,True
amlodipine,50,15,65,True
ammonia n-13,9,29,38,True
ammonium bicarbonate,83,5,88,True
ammonium lactate,12,8,20,True
ammonium tetrathiomolybdate,0,1,1,True
amobarbital,17,43,60,True
amodiaquine,21,16,37,True
amonafide,0,1,1,True
amoxapine,27,50,77,True
amoxicillin,21,15,36,True
amperozide,17,16,33,True
amphetamine,32,22,54,True
amphotericin b,46,4,50,True
ampicillin,36,3,39,True
amprenavir,2,58,60,True
amrinone,4,22,26,True
amrubicin,1,2,3,True
amsacrine,2,18,20,True
amyl nitrite,11,3,14,True
anagliptin,9,10,19,True
anagrelide,23,22,45,True
anastrozole,0,18,18,True
andrographolide,16,1,17,True
androstenediol,2,2,4,True
androstenedione,9,0,9,True
anecortave,2,0,2,True
angiotensin 1-7,12,21,33,True
anileridine,1,1,2,True
aniline,1,3,4,True
aniracetam,1,33,34,True
anisodamine,10,47,57,True
anisotropine methylbromide,0,20,20,True
annamycin,3,1,4,True
antazoline,9,12,21,True
antipyrine,18,80,98,True
antrafenine,24,38,62,True
apalutamide,53,17,70,True
apaziquone,0,3,3,True
apixaban,15,37,52,True
apomorphine,5,59,64,True
apraclonidine,0,1,1,True
apramycin,2,33,35,True
apremilast,23,21,44,True
aprepitant,37,1,38,True
aprindine,14,9,23,True
aprobarbital,17,33,50,True
aprocitentan,22,4,26,True
apronalide,13,12,25,True
arachidonic acid,1,5,6,True
aramchol,2,3,5,True
aranidipine,20,21,41,True
arbaclofen,40,33,73,True
arbaclofen placarbil,15,10,25,True
arbekacin,22,20,42,True
arbutamine,21,9,30,True
arecoline,3,2,5,True
arformoterol,88,4,92,True
argatroban,15,13,28,True
aripiprazole,74,8,82,True
aripiprazole lauroxil,83,14,97,True
arketamine,6,67,73,True
armodafinil,0,34,34,True
arotinolol,57,4,61,True
arsenic trioxide,51,30,81,True
artefenomel,1,3,4,True
artemether,10,24,34,True
artemisinin,9,2,11,True
artemotil,1,2,3,True
artenimol,17,0,17,True
artesunate,3,0,3,True
articaine,26,50,76,True
as-8112,1,0,1,True
asciminib,8,28,36,True
ascorbic acid,15,4,19,True
asenapine,13,58,71,True
aspartame,3,0,3,True
aspartic acid,13,3,16,True
aspoxicillin,5,0,5,True
astaxanthin,15,11,26,True
astemizole,32,10,42,True
asunaprevir,5,40,45,True
ataluren,4,3,7,True
atamestane,0,1,1,True
atazanavir,70,3,73,True
aticaprant,1,1,2,True
atipamezole,11,5,16,True
atogepant,5,3,8,True
atomoxetine,17,41,58,True
atorvastatin,3,28,31,True
atosiban,0,1,1,True
atovaquone,12,9,21,True
atracurium besylate,4,51,55,True
atrasentan,2,6,8,True
atropine,20,38,58,True
auranofin,27,1,28,True
aurodox,1,0,1,True
aurothioglucose,4,26,30,True
avacopan,4,13,17,True
avanafil,10,54,64,True
avapritinib,15,5,20,True
avasimibe,8,14,22,True
avatrombopag,8,9,17,True
