DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
535,Calcium glucoheptonate,62859.0,C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(C(=O)[O-])O)O)O)O)O)O.[Ca+2],490.42,,323.0,12.0,16.0,10.0,PubChem,Available
536,Calcium gluconate,9290.0,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2],430.37,,283.0,10.0,14.0,8.0,PubChem,Available
537,Calcium levulinate,68651.0,CC(=O)CCC(=O)[O-].CC(=O)CCC(=O)[O-].O.O.[Ca+2],306.32,,116.0,2.0,8.0,4.0,PubChem,Available
538,Calcium pangamate,76966485.0,CN(C)CC(=O)OCC(C(C(C(C(=O)[O-])O)O)O)O.CN(C)CC(=O)OCC(C(C(C(C(=O)[O-])O)O)O)O.[Ca+2],600.6,,301.0,8.0,18.0,16.0,PubChem,Available
559,Capreomycin,3000502.0,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N,1321.4,,737.0,27.0,23.0,19.0,PubChem,Available
605,Cefamandole nafate,23665731.0,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(C4=CC=CC=C4)OC=O)SC2)C(=O)[O-].[Na+],512.5,,210.0,1.0,11.0,9.0,PubChem,Available
653,Cephalosporin analog,,,,,,,,,,Unresolved
656,Cerium oxalate,165565.0,C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].[Ce+3].[Ce+3],544.29,,241.0,0.0,12.0,0.0,PubChem,Available
694,Chromic cation,27668.0,[Cr+3],51.996,,0.0,0.0,0.0,0.0,PubChem,Available
695,Chromium,23976.0,[Cr],51.996,,0.0,0.0,0.0,0.0,PubChem,Available
696,Chromium picolinate,151932.0,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Cr+3],418.3,,159.0,0.0,9.0,0.0,PubChem,Available
783,Colistimethate,,,,,,,,,,Unresolved
787,Copper,23978.0,[Cu],63.55,,0.0,0.0,0.0,0.0,PubChem,Available
