DrugID,DrugName,CID
2286,Perphenazine enanthate,62871.0
2291,Phenazocine,14707.0
2298,Pheneticillin,272833.0
2299,Pheneturide,72060.0
2301,Phenglutarimide,102669.0
2302,Phenibut,14113.0
2305,Pheniprazine,5929.0
2311,Phenoperidine,11226.0
2316,Phenprobamate,4770.0
2323,Phenylacetic acid,999.0
2340,Pidotimod,65944.0
2354,Pipemidic acid,4831.0
2369,Piritramide,9331.0
2371,Pirlimycin,157385.0
2373,Piromidic acid,4855.0
2379,Pivagabine,68888.0
2381,Pivhydrazine,9375.0
2395,Poldine,11018.0
2406,Potassium triiodide,105053.0
2410,Prajmaline,76959818.0
2417,Pranoprofen,4888.0
2419,Prasterone enantate,163331.0
2420,Prasterone sulfate,12594.0
2426,Prednimustine,34457.0
2432,Prednisone acetate,91438.0
2433,Prednylidene,20055008.0
2439,Previtamin D(3),5281058.0
2465,Propatyl nitrate,66261.0
2466,Propenidazole,6446788.0
2468,Propicillin,92879.0
2470,Propiopromazine,24352.0
2475,Propyphenazone,3778.0
2476,Proquazone,31508.0
2477,Proscillaridin,5284613.0
2478,Prostaglandin B2,5280881.0
2481,Prostalene,6436031.0
2482,Prothipendyl,14670.0
2489,Proxyphylline,4977.0
2497,Pyrazolam,12562545.0
2500,Pyrithyldione,4994.0
2512,Quingestanol,9842127.0
2513,Quingestanol acetate,18142.0
2515,Quinisocaine,6857.0
2516,Quinupramine,93154.0
2519,"R,S-Warfarin alcohol",54736486.0
2520,R-306465,10309899.0
2524,Radium Ra-223 cation,
2553,Reposal,19254.0
2599,Ro 12-7310,6438583.0
2606,Rokitamycin,5282211.0
2611,Romifidine,71969.0
2612,Ronifibrate,68671.0
2633,Safrazine,34042.0
2645,"Sar9, Met (O2)11-Substance P",163829.0
2647,Sarafloxacin,56208.0
2677,Sevelamer,
2685,Simfibrate,5217.0
2695,Sodium aurothiomalate,22318.0
2696,Sodium aurotiosulfate,161780.0
2697,Sodium cation,923.0
2727,Stepronin,54120.0
2729,Streptolydigin,54708748.0
2732,Strontium cation Sr-89,3083408.0
2734,Styramate,7186.0
2736,Succinylsulfathiazole,5315.0
2739,Sugammadex,6918585.0
2741,Sulbenicillin,20055036.0
2744,Sulfadicramide,8281.0
2747,Sulfaethoxypyridazine,13755.0
2748,Sulfaguanidine,5324.0
2749,Sulfaisodimidine,5343.0
2750,Sulfamazone,187764.0
2757,Sulfametomidine,19596.0
2759,Sulfametrole,64939.0
2760,Sulfamoxole,12894.0
2763,Sulfaperin,68933.0
2768,Sulfathiourea,3000579.0
2775,Sultamicillin,444022.0
2777,Sultopride,5357.0
2783,Suxibuzone,5362.0
2793,Talastine,65624.0
2796,Talinolol,68770.0
2799,Talopram,23573.0
2810,Taurochenodeoxycholic acid,387316.0
2823,Tefinostat,15940949.0
2857,Terodiline,23480.0
2863,Testosterone decanoate,155143.0
2864,Testosterone enantate benzilic acid hydrazone,76971566.0
2866,Testosterone isocaproate,231084.0
2867,Testosterone phenylpropionate,14743.0
2885,Theodrenaline,71857.0
2890,Thiazinam,6016.0
2894,Thiopropazate,6762.0
2896,Thiopyrophosphate,5289158.0
2899,Thiostrepton,16129666.0
2905,Tiamulin,656958.0
2913,Tiemonium iodide,72142.0
2914,Tienilic acid,38409.0
2917,Tiletamine,26533.0
2918,Tilmicosin,5282521.0
2920,Timepidium,5476.0
2924,Tioclomarol,54708299.0
2926,Tioguanine,2723601.0
2932,Tiracizine,71264.0
