STITCH_ID,SIDER_DrugName,PubChemCID,DrugID,MasterDrugName
CID100027400,pizotifen,27400,2384.0,Pizotifen
CID100027661,isosorbide-5-mononitrate,27661,1637.0,Isosorbide mononitrate
CID100028486,lithium,28486,1735.0,Lithium cation
CID100031072,carbimazole,31072,569.0,Carbimazole
CID100031264,paraldehyde,31264,2231.0,Paraldehyde
CID100031378,fludrocortisone,31378,1309.0,Fludrocortisone
CID100031477,metipranolol,31477,1929.0,Metipranolol
CID100034312,oxcarbazepine,34312,2188.0,Oxcarbazepine
CID100036811,dobutamine,36811,1020.0,Dobutamine
CID100039042,bezafibrate,39042,426.0,Bezafibrate
CID100040973,desogestrel,40973,902.0,Desogestrel
CID100041693,sufentanil,41693,2738.0,Sufentanil
CID100041781,torasemide,41781,2961.0,Torasemide
CID100042113,desflurane,42113,897.0,Desflurane
CID100047320,cisatracurium,47320,314.0,Atracurium besylate
CID100047528,nicorandil,47528,2072.0,Nicorandil
CID100050294,nedocromil,50294,2051.0,Nedocromil
CID100051263,alfentanil,51263,158.0,Alfentanil
CID100054158,mebrofenin,54158,1819.0,Mebrofenin
CID100054454,simvastatin,54454,2686.0,Simvastatin
CID100055331,moexiprilat,55331,1979.0,Moexiprilat
CID100056959,ranolazine,56959,2534.0,Ranolazine
CID100057469,imiquimod,57469,1580.0,Imiquimod
CID100059708,levetiracetam,59708,1208.0,Etiracetam
CID100059768,esmolol,59768,1166.0,Esmolol
CID100060172,adefovir,60172,129.0,Adefovir
CID100060198,exemestane,60198,1227.0,Exemestane
CID100060490,zileuton,60490,3144.0,Zileuton
CID100060613,cidofovir,60613,701.0,Cidofovir
CID100060714,gadoteridol,60714,1404.0,Gadoteridol
CID100060726,bromfenac,60726,477.0,Bromfenac
CID100060795,aripiprazole,60795,282.0,Aripiprazole
CID100060852,ibandronate,60852,1546.0,Ibandronate
CID100060860,metaiodobenzylguanidine,60860,1600.0,Iobenguane
CID100060871,adefovir,60871,130.0,Adefovir dipivoxil
CID100060877,emtricitabine,60877,1106.0,Emtricitabine
CID100060953,capecitabine,60953,555.0,Capecitabine
CID100062358,ammonium,62358,227.0,Ammonium lactate
CID100062956,fosinoprilat,62956,1366.0,Fosinoprilat
CID100062959,trovafloxacin,62959,3027.0,Trovafloxacin
CID100064929,fenofibric,64929,1253.0,Fenofibric acid
CID100065157,testosterone,65157,2870.0,Testosterone undecanoate
CID100065628,bendamustine,65628,376.0,Bendamustine
CID100065856,reboxetine,65856,1168.0,Esreboxetine
CID100065866,lercanidipine,65866,1699.0,Lercanidipine
CID100065999,telmisartan,65999,2831.0,Telmisartan
CID100068844,brinzolamide,68844,473.0,Brinzolamide
CID100071158,acamprosate,71158,97.0,Acamprosate
CID100071301,nebivolol,71301,2049.0,Nebivolol
CID100071329,dofetilide,71329,1024.0,Dofetilide
CID100071360,iloperidone,71360,1568.0,Iloperidone
CID100071616,voriconazole,71616,3117.0,Voriconazole
CID100072022,perindoprilat,72022,2282.0,Perindoprilat
CID100073303,doripenem,73303,1034.0,Doripenem
CID100074989,atovaquone,74989,313.0,Atovaquone
CID100077992,frovatriptan,77992,1376.0,Frovatriptan
CID100077993,eletriptan,77993,1089.0,Eletriptan
CID100082146,bexarotene,82146,425.0,Bexarotene
CID100082148,agomelatine,82148,139.0,Agomelatine
CID100104741,ICI,104741,1378.0,Fulvestrant
CID100104799,fotemustine,104799,1374.0,Fotemustine
CID100104865,bosentan,104865,462.0,Bosentan
CID100107994,quinaprilat,107994,2509.0,Quinaprilat
CID100110635,tadalafil,110635,2788.0,Tadalafil
CID100115237,paliperidone,115237,2221.0,Paliperidone
CID100119182,clofarabine,119182,744.0,Clofarabine
CID100119607,valdecoxib,119607,3063.0,Valdecoxib
CID100119828,parecoxib,119828,2235.0,Parecoxib
