STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100003324,famciclovir,1413,Ganciclovir,0.8182,CHEBI:465284,135398740.0,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N
CID100003883,lansoprazole,1567,Ilaprazole,0.8182,CHEBI:135544,214351.0,CC1=C(C=CN=C1CS(=O)C2=NC3=C(N2)C=C(C=C3)N4C=CC=C4)OC
CID100004030,mebendazole,144,Albendazole,0.8182,CHEBI:16664,2082.0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
CID100004139,methylene,1884,Methapyrilene,0.8182,CHEBI:6820,4098.0,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2
CID100004623,oxiconazole,2925,Tioconazole,0.8182,CHEBI:77898,5482.0,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
CID100005404,terconazole,20,(S)-econazole,0.8182,CHEBI:82872,12773795.0,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CID100015232,benzathine,387,Benzatropine,0.8182,CHEBI:3048,1201549.0,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
CID100016124,methylene,1884,Methapyrilene,0.8182,CHEBI:6820,4098.0,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2
CID111235728,Saxagliptin,2692,Sitagliptin,0.8182,CHEBI:40237,4369359.0,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N
CID116220172,ivacaftor,916,Deutivacaftor,0.8182,,71470491.0,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C
CID100002307,beclomethasone,148,Alclometasone,0.8148,CHEBI:53776,5311000.0,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
CID100002307,beclomethasone,415,Betamethasone,0.8148,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CID100002308,beclomethasone,148,Alclometasone,0.8148,CHEBI:53776,5311000.0,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
CID100002308,beclomethasone,415,Betamethasone,0.8148,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CID100002367,dexamethasone,905,Desoximetasone,0.8148,CHEBI:691037,5311067.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C
