STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100000160,prostaglandin,2480,Prostaglandin G2,0.8966,CHEBI:27647,5280883.0,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)OO
CID100006018,tetrabenazine,915,Deutetrabenazine,0.8966,,73442840.0,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
CID100004042,medroxyprogesterone,1535,Hydroxyprogesterone,0.8947,CHEBI:17252,6238.0,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
CID100010631,medroxyprogesterone,1535,Hydroxyprogesterone,0.8947,CHEBI:17252,6238.0,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
CID100002249,atenolol,10,(R)-Atenolol,0.8889,CHEBI:55352,180559.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CID100002284,baclofen,275,Arbaclofen,0.8889,CHEBI:190735,44602.0,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CID100003308,etodolac,17,(R)-etodolac,0.8889,CHEBI:60370,667528.0,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
CID100003821,ketamine,284,Arketamine,0.8889,CHEBI:580604,644025.0,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
CID100003883,lansoprazole,924,Dexlansoprazole,0.8889,CHEBI:135931,9578005.0,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
CID100004032,mecamylamine,926,Dexmecamylamine,0.8889,,12358972.0,CC1(C2CCC(C2)C1(C)NC)C
CID100004095,methadone,1187,Ethadione,0.8889,CHEBI:81296,10630.0,CCN1C(=O)C(OC1=O)(C)C
CID100005040,rapamycin,265,Apramycin,0.8889,CHEBI:2790,3081545.0,CNC1C(C2C(CC(C(O2)OC3C(CC(C(C3O)O)N)N)N)OC1OC4C(C(C(C(O4)CO)N)O)O)O
CID105001396,warfarin,18,(R)-warfarin,0.8889,CHEBI:87737,54684598.0,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
CID105381226,rifampicin,2572,Rifampin,0.8889,CHEBI:28077,135398735.0,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C
CID100004120,N-methylscopolamine,1900,Methscopolamine,0.8824,CHEBI:135361,71183.0,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C
CID100003151,domperidone,912,Deudomperidone,0.88,,153420471.0,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
CID100004885,pramipexole,931,Dexpramipexole,0.88,CHEBI:232420,59868.0,CCCNC1CCC2=C(C1)SC(=N2)N
CID100004946,propranolol,932,Dexpropranolol,0.88,CHEBI:8736,21138.0,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
CID100005029,rabeprazole,933,Dexrabeprazole,0.88,CHEBI:134729,9906855.0,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCCCOC
CID100005591,troglitazone,2063,Netoglitazone,0.88,,204109.0,C1=CC=C(C(=C1)COC2=CC3=C(C=C2)C=C(C=C3)CC4C(=O)NC(=O)S4)F
CID100005591,troglitazone,2597,Rivoglitazone,0.88,,3055168.0,CN1C2=C(C=CC(=C2)OC)N=C1COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4
CID100005591,troglitazone,2616,Rosiglitazone,0.88,CHEBI:50122,77999.0,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
CID100040632,pirfenidone,913,Deupirfenidone,0.88,,25145077.0,CC1=CN(C(=O)C=C1)C2=CC=CC=C2
CID117754772,ruxolitinib,914,Deuruxolitinib,0.88,,72704611.0,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
CID100000191,adenosine,132,Adenine,0.875,CHEBI:16708,190.0,C1=NC2=NC=NC(=C2N1)N
CID100003158,doxepin,702,Cidoxepin,0.875,CHEBI:4710,667468.0,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
CID100003249,vitamin,3110,Vitamin A,0.875,CHEBI:17336,445354.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
