Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Primary Target,Affinity Median,Affinity Units,PubMed ID
4570,rifamycin SV,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,True,Inhibitor,Inhibition,False,,-,
13593,sarsagenin,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,False,Inhibitor,Inhibition,False,7.099999904632568,pKi,23571415
4743,sildenafil,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,True,Inhibitor,Inhibition,False,6.099999904632568,pIC50,17496208
4505,[<sup>3</sup>H]BSP,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,False,,,False,,-,
4765,"[<sup>3</sup>H]CCK-8 (human, mouse, rat)",OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,False,,,False,,-,
4687,[<sup>3</sup>H]estradiol-17&beta;-glucuronide,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,False,,,False,,-,
1608,DPDPE,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,False,Inhibitor,Inhibition,False,,-,
4357,probenecid,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,True,Inhibitor,Inhibition,False,,-,
4547,taurocholic acid,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,False,Inhibitor,Inhibition,False,,-,
4627,[<sup>125</sup>I]thyroxine,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,False,,,False,,-,
4505,[<sup>3</sup>H]BSP,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP1C1,1222,SLCO1C1,Q9NYB5,ENSG00000139155,Human,False,,,False,,-,
4530,bromocresol green,OATP2A1,1223,Slco2a1,Q00910,ENSRNOG00000009005,Rat,False,Inhibitor,Inhibition,False,5.440000057220459,pKi,7754369
4506,bromsulphthalein,OATP2A1,1223,Slco2a1,Q00910,ENSRNOG00000009005,Rat,False,Inhibitor,Inhibition,False,5.239999771118164,pKi,7754369
1916,[<sup>3</sup>H]PGE<sub>2</sub>,OATP2A1,1223,SLCO2A1,Q92959,ENSG00000174640,Human,False,,Binding,False,,-,9506966
4920,erlotinib,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,True,Inhibitor,Inhibition,False,6.28000020980835,pKi,22541068
3439,gemfibrozil,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,True,Inhibitor,Inhibition,False,,-,
2414,glibenclamide,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,True,Inhibitor,Inhibition,False,,-,
4570,rifamycin SV,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,True,Inhibitor,Inhibition,False,,-,
4743,sildenafil,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,True,Inhibitor,Inhibition,False,,-,17496208
6193,verlukast,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,False,Inhibitor,Inhibition,False,5.550000190734863,pKi,22541068
4505,[<sup>3</sup>H]BSP,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP2B1,1224,SLCO2B1,O94956,ENSG00000137491,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP3A1,1225,SLCO3A1,Q9UIG8,ENSG00000176463,Human,False,,,False,,-,
