InChIKey14,DrugName,DrugID,Source,DrugName_Normalized
RTXOFQZKPXMALH,Cefdinir,612,Drug_A,cefdinir
KMIPKYQIOVAHOP,Cefditoren,613,Drug_A,cefditoren
HVFLCNVBZFFHBT,Cefepime,614,Drug_A,cefepime
MQLRYUCJDNBWMV,Cefetamet,615,Drug_A,cefetamet
OKBVVJOGVLARMR,Cefixime,616,Drug_A,cefixime
HJJDBAOLQAWBMH,Cefmenoxime,617,Drug_A,cefmenoxime
SNBUBQHDYVFSQF,Cefmetazole,618,Drug_A,cefmetazole
JSDXOWVAHXDYCU,Cefminox,619,Drug_A,cefminox
XDZKBRJLTGRPSS,Cefodizime,620,Drug_A,cefodizime
DYAIAHUQIPBDIP,Cefonicid,621,Drug_A,cefonicid
GCFBRXLSHGKWDP,Cefoperazone,622,Drug_A,cefoperazone
SLAYUXIURFNXPG,Ceforanide,623,Drug_A,ceforanide
GPRBEKHLDVQUJE,Cefotaxime,624,Drug_A,cefotaxime
SRZNHPXWXCNNDU,Cefotetan,625,Drug_A,cefotetan
QYQDKDWGWDOFFU,Cefotiam,626,Drug_A,cefotiam
WZOZEZRFJCJXNZ,Cefoxitin,627,Drug_A,cefoxitin
QDUIJCOKQCCXQY,Cefozopran,628,Drug_A,cefozopran
PWAUCHMQEXVFJR,Cefpiramide,629,Drug_A,cefpiramide
DKOQGJHPHLTOJR,Cefpirome,630,Drug_A,cefpirome
WYUSVOMTXWRGEK,Cefpodoxime,631,Drug_B,cefpodoxime
WDLWHQDACQUCJR,Cefprozil,632,Drug_A,cefprozil
RDLPVSKMFDYCOR,Cefradine,633,Drug_A,cefradine
RDMOROXKXONCAL,Cefroxadine,634,Drug_A,cefroxadine
SYLKGLMBLAAGSC,Cefsulodin,635,Drug_A,cefsulodin
ZCCUWMICIWSJIX,Ceftaroline fosamil,636,Drug_A,ceftaroline fosamil
ORFOPKXBNMVMKC,Ceftazidime,637,Drug_A,ceftazidime
DZMVCVMFETWNIU,Ceftezole,638,Drug_A,ceftezole
UNJFKXSSGBWRBZ,Ceftibuten,639,Drug_A,ceftibuten
ZBHXIWJRIFEVQY,Ceftiofur,640,Drug_B,ceftiofur
NNULBSISHYWZJU,Ceftizoxime,641,Drug_A,ceftizoxime
VOAZJEPQLGBXGO,Ceftobiprole,642,Drug_A,ceftobiprole
HFTSMHTWUFCYMJ,Ceftobiprole medocaril,643,Drug_A,ceftobiprole medocaril
JHFNIHVVXRKLEF,Ceftolozane,644,Drug_A,ceftolozane
VAAUVRVFOQPIGI,Ceftriaxone,645,Drug_A,ceftriaxone
JFPVXVDWJQMJEE,Cefuroxime,646,Drug_A,cefuroxime
RZEKVGVHFLEQIL,Celecoxib,647,Drug_A,celecoxib
JOATXPAWOHTVSZ,Celiprolol,648,Drug_A,celiprolol
GFHAXPJGXSQLPT,Cenobamate,649,Drug_A,cenobamate
ZAIPMKNFIOOWCQ,Cephalexin,650,Drug_B,cephalexin
FUBBGQLTSCSAON,Cephaloglycin,651,Drug_A,cephaloglycin
HOKIDJSKDBPKTQ,Cephalosporin C,652,Drug_A,cephalosporin c
PEUIVMLYMKXUBF,Cephalosporin analog,653,Drug_B,cephalosporin analog
UUWFGEKEQSCSMB,Cephalothin Group,654,Drug_A,cephalothin group
VERWOWGGCGHDQE,Ceritinib,655,Drug_A,ceritinib
MUBZPKHOEPUJKR,Cerium oxalate,656,Drug_A,cerium oxalate
SEERZIQQUAZTOL,Cerivastatin,657,Drug_A,cerivastatin
NXQGEDVQXVTCDA,Cerlapirdine,658,Drug_A,cerlapirdine
PENDGIOBPJLVBT,Cethromycin,659,Drug_A,cethromycin
ZKLPARSLTMPFCP,Cetirizine,660,Drug_A,cetirizine
WUTYZMFRCNBCHQ,Cevimeline,661,Drug_A,cevimeline
RNFNDJAIBTYOQL,Chloral hydrate,662,Drug_A,chloral hydrate
JCKYGMPEJWAADB,Chlorambucil,663,Drug_A,chlorambucil
WIIZWVCIJKGZOK,Chloramphenicol,664,Drug_A,chloramphenicol
LIRCDOVJWUGTMW,Chloramphenicol succinate,665,Drug_A,chloramphenicol succinate
WFNAKBGANONZEQ,Chlorcyclizine,666,Drug_A,chlorcyclizine
ANTSCNMPPGJYLG,Chlordiazepoxide,667,Drug_A,chlordiazepoxide
QVFWZNCVPCJQOP,Chlorhexadol,668,Drug_A,chlorhexadol
VEXZGXHMUGYJMC,Chloride ion,669,Drug_A,chloride ion
VUHJZBBCZGVNDZ,Chlormadinone,670,Drug_A,chlormadinone
QMBJSIBWORFWQT,Chlormadinone acetate,671,Drug_A,chlormadinone acetate
WEQAYVWKMWHEJO,Chlormezanone,672,Drug_A,chlormezanone
HEDRZPFGACZZDS,Chloroform,673,Drug_A,chloroform
VDANGULDQQJODZ,Chloroprocaine,674,Drug_A,chloroprocaine
ICKFFNBDFNZJSX,Chloropyramine,675,Drug_A,chloropyramine
WHTVZRBIWZFKQO,Chloroquine,676,Drug_A,chloroquine
JBMKAUGHUNFTOL,Chlorothiazide,677,Drug_A,chlorothiazide
BFPSDSIWYFKGBC,Chlorotrianisene,678,Drug_A,chlorotrianisene
SOYKEARSMXGVTM,Chlorpheniramine,679,Drug_A,chlorpheniramine
KKHPNPMTPORSQE,Chlorphenoxamine,680,Drug_A,chlorphenoxamine
ZCKAMNXUHHNZLN,Chlorphentermine,681,Drug_A,chlorphentermine
DBOUGBAQLIXZLV,Chlorproethazine,682,Drug_A,chlorproethazine
ISZNZKHCRKXXAU,Chlorproguanil,683,Drug_A,chlorproguanil
ZPEIMTDSQAKGNT,Chlorpromazine,684,Drug_B,chlorpromazine
RKWGIWYCVPQPMF,Chlorpropamide,685,Drug_A,chlorpropamide
WSPOMRSOLSGNFJ,Chlorprothixene,686,Drug_A,chlorprothixene
CTSNHMQGVWXIEG,Chlorsulfaquinoxaline,687,Drug_A,chlorsulfaquinoxaline
CYDMQBQPVICBEU,Chlortetracycline,688,Drug_A,chlortetracycline
TZFWDZFKRBELIQ,Chlorzoxazone,689,Drug_A,chlorzoxazone
QYSXJUFSXHHAJI,Cholecalciferol,690,Drug_A,cholecalciferol
HVYWMOMLDIMFJA,Cholesterol,691,Drug_A,cholesterol
BHQCQFFYRZLCQQ,Cholic Acid,692,Drug_A,cholic acid
OEYIOHPDSNJKLS,Choline,693,Drug_A,choline
BFGKITSFLPAWGI,Chromic cation,694,Drug_A,chromic cation
VYZAMTAEIAYCRO,Chromium,695,Drug_A,chromium
SIOXPEMLGUPBBT,Chromium picolinate,696,Drug_A,chromium picolinate
IPOBOOXFSRWSHL,Cibenzoline,697,Drug_A,cibenzoline
LUKZNWIVRBCLON,Ciclesonide,698,Drug_A,ciclesonide
CVKNDPRBJVBDSS,Cicletanine,699,Drug_A,cicletanine
SCKYRAXSEDYPSA,Ciclopirox,700,Drug_B,ciclopirox
VWFCHDSQECPREK,Cidofovir,701,Drug_A,cidofovir
ODQWQRRAPPTVAG,Cidoxepin,702,Drug_A,cidoxepin
YZFWTZACSRHJQD,Ciglitazone,703,Drug_A,ciglitazone
NCNFDKWULDWJDS,Cilansetron,704,Drug_A,cilansetron
DHSUYTOATWAVLW,Cilastatin,705,Drug_A,cilastatin
HHHKFGXWKKUNCY,Cilazapril,706,Drug_A,cilazapril
UVAUYSRYXACKSC,Cilazaprilat,707,Drug_A,cilazaprilat
KJEBULYHNRNJTE,Cilnidipine,708,Drug_A,cilnidipine
RRGUKTPIGVIEKM,Cilostazol,709,Drug_A,cilostazol
AQIXAKUUQRKLND,Cimetidine,710,Drug_A,cimetidine
QVVOZYKELHAIPX,Cimetropium,711,Drug_A,cimetropium
KYXDNECMRLFQMZ,Cimicoxib,712,Drug_A,cimicoxib
VDHAWDNDOKGFTD,Cinacalcet,713,Drug_A,cinacalcet
