DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
2336,Piclamilast,154575.0,COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3,381.2,4.2,60.5,1.0,4.0,5.0,PubChem,Available
2337,Piclozotan,9801640.0,C1CN(CC=C1C2=CC=CC=N2)CCCCN3C(=COC4=CC=CC=C4C3=O)Cl,409.9,3.6,45.7,0.0,4.0,6.0,PubChem,Available
2338,Picosulfuric acid,5243.0,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O,437.4,2.4,157.0,2.0,9.0,7.0,PubChem,Available
2339,Picotamide,4814.0,COC1=C(C=C(C=C1)C(=O)NCC2=CN=CC=C2)C(=O)NCC3=CN=CC=C3,376.4,1.3,93.2,2.0,5.0,7.0,PubChem,Available
2340,Pidotimod,65944.0,C1CC(=O)NC1C(=O)N2CSCC2C(=O)O,244.27,-0.7,112.0,2.0,5.0,2.0,PubChem,Available
2341,Pilocarpine,5910.0,CCC1C(COC1=O)CC2=CN=CN2C,208.26,1.1,44.1,0.0,3.0,3.0,PubChem,Available
2342,Pilsicainide,4820.0,CC1=C(C(=CC=C1)C)NC(=O)CC23CCCN2CCC3,272.4,2.7,32.3,1.0,2.0,3.0,PubChem,Available
2343,Pimavanserin,10071196.0,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,427.6,4.5,44.8,1.0,4.0,8.0,PubChem,Available
2344,Pimecrolimus,6509979.0,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C,810.4,3.8,158.0,2.0,11.0,6.0,PubChem,Available
2345,Pimozide,16362.0,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,461.5,6.3,35.6,1.0,4.0,7.0,PubChem,Available
2346,Pinacidil,55329.0,CC(C(C)(C)C)N=C(NC#N)NC1=CC=NC=C1.O,263.34,,74.1,3.0,4.0,5.0,PubChem,Available
2347,Pinaverium,40704.0,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C,511.5,5.4,36.9,0.0,4.0,10.0,PubChem,Available
2348,Pinazepam,40391.0,C#CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,308.8,3.1,32.7,0.0,2.0,2.0,PubChem,Available
2349,Pindolol,4828.0,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,248.32,1.8,57.3,3.0,3.0,6.0,PubChem,Available
2350,Pinometostat,57345410.0,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,562.7,4.3,151.0,4.0,9.0,9.0,PubChem,Available
2351,Pioglitazone,4829.0,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,356.4,3.8,93.6,1.0,5.0,7.0,PubChem,Available
2352,Pipamperone,4830.0,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,375.5,2.0,66.6,1.0,5.0,7.0,PubChem,Available
2353,Pipecuronium,50192.0,CC(=O)OC1CC2CCC3C(C2(CC1N4CC[N+](CC4)(C)C)C)CCC5(C3CC(C5OC(=O)C)N6CC[N+](CC6)(C)C)C,602.9,4.5,59.1,0.0,6.0,6.0,PubChem,Available
2354,Pipemidic acid,4831.0,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,303.32,-2.1,98.7,2.0,8.0,3.0,PubChem,Available
2355,Pipenzolate,4832.0,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,354.5,3.6,46.5,1.0,3.0,6.0,PubChem,Available
2356,Piperacillin,43672.0,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,517.6,0.5,182.0,3.0,8.0,6.0,PubChem,Available
2357,Piperaquine,122262.0,C1CN(CCN1CCCN2CCN(CC2)C3=C4C=CC(=CC4=NC=C3)Cl)C5=C6C=CC(=CC6=NC=C5)Cl,535.5,5.6,38.7,0.0,6.0,6.0,PubChem,Available
2358,Piperazine,4837.0,C1CNCCN1,86.14,-1.5,24.1,2.0,2.0,0.0,PubChem,Available
2359,Piperidolate,4839.0,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,323.4,4.4,29.5,0.0,3.0,6.0,PubChem,Available
2360,Piperine,638024.0,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,285.34,3.5,38.8,0.0,3.0,3.0,PubChem,Available
2361,Pipobroman,4842.0,C1CN(CCN1C(=O)CCBr)C(=O)CCBr,356.05,0.4,40.6,0.0,2.0,4.0,PubChem,Available
2362,Pipotiazine,62867.0,CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,475.7,3.5,97.8,1.0,7.0,8.0,PubChem,Available
2363,Piracetam,4843.0,C1CC(=O)N(C1)CC(=O)N,142.16,-1.3,63.4,1.0,2.0,2.0,PubChem,Available
2364,Pirarubicin,11296583.0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OC6CCCCO6,627.6,2.7,204.0,5.0,13.0,7.0,PubChem,Available
2365,Pirbuterol,4845.0,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O,240.3,-0.1,85.6,4.0,5.0,5.0,PubChem,Available
2366,Pirenzepine,4848.0,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,351.4,0.1,68.8,1.0,5.0,2.0,PubChem,Available
2367,Piretanide,4849.0,C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3,362.4,2.2,118.0,2.0,7.0,5.0,PubChem,Available
2368,Piribedil,4850.0,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4,298.34,1.8,50.7,0.0,6.0,3.0,PubChem,Available
2369,Piritramide,9331.0,C1CCN(CC1)C2(CCN(CC2)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N,430.6,3.7,73.4,1.0,4.0,7.0,PubChem,Available
2370,Piritrexim,54369.0,CC1=C2C(=NC(=NC2=NC=C1CC3=C(C=CC(=C3)OC)OC)N)N,325.4,2.1,109.0,2.0,7.0,4.0,PubChem,Available
2371,Pirlimycin,157385.0,CCC1CCNC(C1)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,411.0,1.7,136.0,5.0,7.0,6.0,PubChem,Available
2372,Pirlindole,68802.0,CC1=CC2=C(C=C1)N3CCNC4C3=C2CCC4,226.32,2.3,17.0,1.0,1.0,0.0,PubChem,Available
2373,Piromidic acid,4855.0,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O,288.3,1.3,86.6,1.0,7.0,3.0,PubChem,Available
2374,Piroxicam,54676228.0,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,331.3,3.1,108.0,2.0,6.0,2.0,PubChem,Available
2375,Pirprofen,35935.0,CC(C1=CC(=C(C=C1)N2CC=CC2)Cl)C(=O)O,251.71,2.9,40.5,1.0,3.0,3.0,PubChem,Available
2376,Pirtobrutinib,129269915.0,CC(C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N,479.4,3.3,125.0,3.0,9.0,7.0,PubChem,Available
